Study_ID,Author_year,Publication_year,Country_firstAuthor,Effect_ID,Species_common,Species_Scientific,Invertebrate_vertebrate,Fish_mollusc,Moisture_loss_in_percent,PFAS_type,PFAS_carbon_chain,linear_total,Choice_of_9,Cooking_method,Cooking_Category,Comments_cooking,Temperature_in_Celsius,Length_cooking_time_in_s,Water,Oil,Oil_type,Volume_liquid_ml,Volume_liquid_ml_0,Ratio_liquid_fish,Weigh_g_sample,Cohort_ID,Cohort_comment,Cohort_comment_2,Nc,Pooled_Nc,Unit_PFAS_conc,Mc,Mc_comment,Sc,sd,Sc_technical_biological,Ne,Pooled_Ne,Me,Me_comment,Se,Se_technical_biological,If_technical_how_many,Unit_LOD_LOQ,LOD,LOQ,Design,DataSource,Raw_data_provided,General_comments,checked
F001,Alves_2017,2017,Portugal,E001,Flounder,Platichthys flesus,vertebrate,marine fish,7.43,PFOS,8,linear,Yes,Steaming,water-based,NA,105,900,Yes,No,NA,NA,NA,NA,,C001,Shared control,NA,25,1,ng/g,24,NA,1.528,sd,technical,25,1,22,NA,1.53,technical,2,ng/g,<0.1,<0.2,Dependent,Table 3,No,Authors replied,ML - ok
F001,Alves_2017,2017,Portugal,E002,Mackerel,Scomber scombrus,vertebrate,marine fish,NA,PFUnDA,11,NA,Yes,Steaming,water-based,NA,105,900,Yes,No,NA,NA,NA,NA,,C002,Shared control,NA,25,1,ng/g,3.1,NA,0.212,sd,technical,25,1,2.9,NA,0.141,technical,2,ng/g,<0.1,<0.2,Dependent,Table 3,No,Authors replied,ML - ok
F002,Barbosa_2018,2018,Portugal,E003,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFUnDA,11,NA,Yes,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,13.30188679,NA,0.047169811,sd,technical,25,1,4.151,NA,0.094,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E004,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFDoDA,12,NA,No,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,3.573170732,NA,0.024390244,sd,technical,25,1,3.207,NA,0.024,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E005,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFTrA,13,NA,No,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,6.528301887,NA,0.075471698,sd,technical,25,1,10.038,NA,0.075,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E006,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFTA,14,NA,No,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,1.373684211,NA,0.015789474,sd,technical,25,1,1.332,NA,0.021,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E007,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFOS,8,total,Yes,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,0.64673913,NA,0.005434783,sd,technical,25,1,0.302,NA,0.008,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E008,Skipjack tuna,Katsuwonus pelamis,vertebrate,marine fish,16.86,PFDA,10,NA,Yes,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C003,Shared control,NA,25,1,ng/g,0.025,<LOQ,NA,sd,technical,25,1,0.087,NA,0.013,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E009,European plaice,Pleuronectes platessa,vertebrate,marine fish,8.7,PFOS,8,total,Yes,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C004,Shared control,NA,25,1,ng/g,0.247282609,NA,0.008152174,sd,technical,25,1,0.253,NA,0.005,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied,
F002,Barbosa_2018,2018,Portugal,E010,blue mussel,Mytilus edulis,invertebrate,mollusca,6.77,PFBA,3,NA,No,Steaming,water-based,wrapped up in aluminum foil,105,900,Yes,No,NA,NA,NA,NA,,C005,Shared control,NA,50,1,ng/g,0.025,<LOQ,NA,sd,technical,50,1,0.208,NA,0.009,technical,2,ng/g,<0.01,<0.04,Dependent,Table 2,Yes,Authors replied. We assume that the mussels were cut in half. The paper does not state this clearly but it was our assumptions that they did not use the whole mussle for each treatment. ,
