"Species_Scientific"
"Platichthys flesus"
"Scomber scombrus"
"Katsuwonus pelamis"
"Pleuronectes platessa"
"Mytilus edulis"
"Oncorhynchus tshawytscha"
"Cyprinus carpio"
"Salvelinus namaycush"
"Sander vitreus"
"Ictalurus punctatus"
"Epinephelus itajara"
"Lophius americanus"
"Bathypolypus arcticus"
"Lutjanus campechanus"
"Diplosoma listerianum"
"Amblyraja hyperborea"
"Larimichthys polyactis"
"Ctenopharyngodon idell"
"Scomber japonicus"
"Portunus trituberculatus"
"Pomatomus saltator"
"Mullus barbatus"
"Salmo trutta"
"Pagellus erythrinus"
"Mugil cephalus"
"Dicentrarchus labrax"
"Atherina hepsetus"
"Platycephalus fuscus"
"Portunus armatus"
"Metapenaeus macleayi"
"Engraulis encrasicolus"
"Boops boops"
"Merluccius merluccius"
"Spicara smaris"
"Atherina boyeri"
"Sardina pilchardus"
"Parapenaeus longirostris"
"Loligo vulgaris"
