"Study_ID","Author_year","Publication_year","Country_firstAuthor","Effect_ID","Species_common","Species_Scientific","Invertebrate_vertebrate","Weight_sample_g","PFAS_type","PFAS_carbon_chain","linear_total","Choice_of_9","Cooking_method","Cooking_Category","Comments_cooking","Temperature_in_Celsius","Length_cooking_time_in_s","Water","Oil","Oil_type","Volume_liquid_ml","Cohort_ID","Cohort_comment","Nc","Pooled_Nc","Unit_PFAS_conc","Mc","Mc_comment","Sc","sd","Sc_technical_biological","Ne","Pooled_Ne","Me","Me_comment","Se","Se_technical_biological","If_technical_how_many","Unit_LOD_LOQ","LOD","LOQ","Design","DataSource","Raw_data_provided","General_comments","checked"
"F001","Alves_2017",2017,"Portugal","E001","Flounder","Platichthys flesus","vertebrate",NA,"PFOS",8,"linear","Yes","Steaming","water-based","NA",105,900,"Yes","No","NA",NA,"C001","NA",25,1,"ng/g",24,"NA",1.528,"sd","technical",25,1,22,"NA",1.53,"technical",2,"ng/g","<0.1","<0.2","Dependent","Table 3","No","Authors replied","ML - ok"
"F001","Alves_2017",2017,"Portugal","E002","Mackerel","Scomber scombrus","vertebrate",NA,"PFUnDA",11,"NA","Yes","Steaming","water-based","NA",105,900,"Yes","No","NA",NA,"C002","NA",25,1,"ng/g",3.1,"NA",0.212,"sd","technical",25,1,2.9,"NA",0.141,"technical",2,"ng/g","<0.1","<0.2","Dependent","Table 3","No","Authors replied","ML - ok"
"F002","Barbosa_2018",2018,"Portugal","E003","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFUnDA",11,"NA","Yes","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ng/g",13.30188679,"NA",0.047169811,"sd","technical",25,1,4.150943396,"NA",0.094339623,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E004","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFDoDA",12,"NA","No","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ng/g",3.57317073170732,"NA",0.024390243902439,"sd","technical",25,1,3.20731707317073,"NA",0.0243902439024395,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E005","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFTrA",13,"NA","No","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ug/kg",6.52830188679245,"NA",0.0754716981132066,"sd","technical",25,1,10.0377358490566,"NA",0.0754716981132066,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E006","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFTA",14,"NA","No","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ug/kg",1.37368421052632,"NA",0.0157894736842106,"sd","technical",25,1,1.33157894736842,"NA",0.0210526315789472,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E007","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFOS",8,"total","Yes","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ug/kg",0.646739130434782,"NA",0.00543478260869579,"sd","technical",25,1,0.301630434782609,"NA",0.00815217391304357,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E008","Skipjack tuna","Katsuwonus pelamis","vertebrate",NA,"PFDA",10,"NA","Yes","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C003","NA",25,1,"ug/kg",0.025,"<LOQ",NA,"sd","technical",25,1,0.0869767441860465,"NA",0.0130232558139535,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E009","European plaice","Pleuronectes platessa","vertebrate",NA,"PFOS",8,"total","Yes","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C004","NA",25,1,"ug/kg",0.247282608695652,"NA",0.00815217391304354,"sd","technical",25,1,0.252717391304348,"NA",0.00543478260869568,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E010","blue mussel","Mytilus edulis","invertebrate",NA,"PFBA",3,"NA","No","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C005","NA",50,1,"ug/kg",0.025,"<LOQ",NA,"sd","technical",50,1,0.208333333333333,"NA",0.00909090909090909,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F002","Barbosa_2018",2018,"Portugal","E011","blue mussel","Mytilus edulis","invertebrate",NA,"PFDA",10,"NA","Yes","Steaming","water-based","wrapped up in aluminum foil",105,900,"Yes","No","NA",NA,"C005","NA",50,1,"ug/kg",0.0241860465116279,"NA",0.00744186046511627,"sd","technical",50,1,0.025,"<LOQ",NA,"technical",2,"ng/g","<0.01","<0.04","Dependent","Table 2","Yes","Authors replied",NA
"F003","Bhavsar_2014",2014,"Canada","E012","Chinook salmon","Oncorhynchus tshawytscha","vertebrate",NA,"PFNA",9,NA,"No","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C006","NA",5,5,"ng/g",0.067,"NA",0.095,"sd","biological",5,5,0.086,"NA",0.135,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.","ML"
"F003","Bhavsar_2014",2014,"Canada","E013","Chinook salmon","Oncorhynchus tshawytscha","vertebrate",NA,"PFDA",10,NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C006","NA",5,5,"ng/g",0.156,"NA",0.197,"sd","biological",5,5,0.192,"NA",0.266,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
"F003","Bhavsar_2014",2014,"Canada","E014","Chinook salmon","Oncorhynchus tshawytscha","vertebrate",NA,"PFUnDA",11,NA,"Yes","Baking","oil-based","NA",200,900,"No","Yes","canola oil",11,"C006","NA",5,5,"ng/g",0.186,"NA",0.225,"sd","biological",5,5,0.234,"NA",0.291,"biological",NA,"ng/g","Not provided","Not provided","Shared control","Table S3","No","We assumed that all specimens of one species were analysed separately and that NO pooling occured. However, we can not be fully sure. We also assumed that the provided sd was biological.",NA
